case:concept:name,Next_activity,Next_resource
201810001660,Request completed with account closure,BOC
201810002650,Pending Request for Reservation Closure,BOCSER
201810006512,Pending Request for Reservation Closure,BOC
201810008108,Request completed with account closure,BOC
201810008268,Authorization Requested,00463
201810008485,Pending Request for Reservation Closure,BOC
201810008899,Request completed with account closure,BOC
20181000902,Pending Request for Reservation Closure,BOCSER
201810010740,Pending Request for Reservation Closure,BOCSER
201810011081,Pending Request for Reservation Closure,BOC
201810011583,Service closure Request with BO responsibility,00848
20181012611,Pending Request for Reservation Closure,BOC
20181013679,Service closure Request with BO responsibility,00848
201811000205,Evaluating Request (WITH registered letter),SB32
201811001580,Service closure Request with BO responsibility,00851
201811001889,Service closure Request with network responsibility,00409
201811002881,Pending Request for Reservation Closure,BOC
201811003327,Pending Request for Reservation Closure,BOCSER
201811003911,Pending Request for Reservation Closure,BOC
201811004163,Pending Request for Reservation Closure,BOCSER
201811004205,Service closure Request with BO responsibility,00842
201811004338,Service closure Request with network responsibility,00015
201811005226,Pending Request for Reservation Closure,BOC
201811005422,Service closure Request with BO responsibility,00835
201811005747,Request completed with account closure,BOC
201811005954,Evaluating Request (NO registered letter),00767
201811006467,Request completed with account closure,BOC
201811006674,Pending Request for Reservation Closure,BOCSER
201811006982,Request completed with account closure,SDCRAP
201811007401,Evaluating Request (WITH registered letter),00119
201811008100,Pending Request for Reservation Closure,BOC
201811008330,Service closure Request with BO responsibility,00837
201811008338,Pending Request for Reservation Closure,BOCSER
201811008394,Pending Request for acquittance of heirs,BOC
201811008598,Pending Request for Reservation Closure,SDCRAP
201811008631,Authorization Requested,00594
201811008634,Authorization Requested,00034
201811009132,Authorization Requested,00463
201811009434,Service closure Request with network responsibility,00767
201811009590,Request completed with account closure,BOC
201811009800,Pending Request for Reservation Closure,BOC
201811010119,Pending Request for acquittance of heirs,BOC
201811010142,Request completed with account closure,BOC
201811010681,Pending Request for Reservation Closure,BOCSER
201811010732,Authorization Requested,00463
201811011699,Pending Request for Reservation Closure,BOC
201811011715,Service closure Request with network responsibility,00594
201811011742,Pending Request for Reservation Closure,BOC
201811011907,Authorization Requested,00722
201811011916,Pending Request for Reservation Closure,BOCSER
201812000179,Service closure Request with BO responsibility,00837
201812000181,Service closure Request with BO responsibility,00837
201812000186,Evaluating Request (NO registered letter),00223
201812000605,Pending Request for Reservation Closure,BOC
201812000606,Pending Request for Reservation Closure,BOCSER
201812000900,Pending Request for Reservation Closure,BOC
201812002344,Evaluating Request (WITH registered letter),00119
201812002552,Pending Request for Reservation Closure,BOCSER
201812002630,Pending Request for Reservation Closure,BOCSER
201812002677,Pending Request for Reservation Closure,BOC
201812002837,Pending Request for Reservation Closure,BOC
201812002893,Evaluating Request (WITH registered letter),00119
201812003039,Authorization Requested,00034
201812003088,Pending Request for Reservation Closure,BOCSER
201812003287,Pending Request for acquittance of heirs,BOC
201812004065,Request completed with account closure,BOC
201812004155,Pending Request for Reservation Closure,BOC
201812004198,Request completed with account closure,SDCRAP
201812004271,Authorization Requested,00594
201812004422,Pending Request for Reservation Closure,BOC
201812004433,Pending Request for Reservation Closure,BOC
201812004478,Pending Request for Reservation Closure,BOCSER
201812004552,Service closure Request with network responsibility,00414
201812004625,Pending Request for Reservation Closure,BOC
201812004772,Pending Request for Reservation Closure,BOCSER
201812004817,Request completed with account closure,BOC
201812004871,Pending Request for Reservation Closure,SDCRAP
201812004921,Pending Liquidation Request,SDCRAP
201812005259,Pending Request for Reservation Closure,SDCTCC
201812005350,Request completed with account closure,BOC
201812005402,Evaluating Request (WITH registered letter),00119
201812005434,Service closure Request with network responsibility,SB11
201812005461,Authorization Requested,00463
201812005659,Pending Request for Reservation Closure,SDCRAP
201812005779,Pending Request for Reservation Closure,BOC
201812005853,Request completed with account closure,BOC
201812005862,Service closure Request with BO responsibility,BOCSER
201812005898,Request completed with account closure,BOC
201812006094,Request completed with account closure,BOC
201812006124,Evaluating Request (NO registered letter),00491
201812006485,Pending Request for Reservation Closure,BOCSER
201812006628,Pending Request for Reservation Closure,BOC
201812006707,Request completed with account closure,SDC
201812006755,Request completed with account closure,BOC
201812006820,Service closure Request with network responsibility,00120
201812006824,Pending Request for Reservation Closure,BOC
201812007245,Pending Request for Reservation Closure,BOCSER
201812007280,Pending Request for Reservation Closure,BOC
201812007319,Authorization Requested,00034
201812007397,Pending Request for Reservation Closure,BOC
201812007439,Pending Liquidation Request,BOCSER
201812007654,Service closure Request with network responsibility,00767
201812007664,Authorization Requested,00463
201812007718,Pending Request for Reservation Closure,BOCSER
201812007723,Pending Request for Reservation Closure,BOCSER
201812007727,Service closure Request with BO responsibility,00837
201812007780,Request completed with account closure,SDC
201812007788,Service closure Request with BO responsibility,BOCSER
201812007839,Pending Request for Reservation Closure,BOC
201812007853,Pending Request for Reservation Closure,BOCSER
201812008090,Request completed with account closure,SDCRAP
201812008149,Pending Request for acquittance of heirs,BOC
201812008346,Pending Request for acquittance of heirs,BOC
201812008642,Authorization Requested,00015
201812008657,Pending Request for Reservation Closure,BOC
201812008694,Pending Request for Reservation Closure,BOC
201812008702,Authorization Requested,00463
201812008708,Authorization Requested,00463
201812008800,Pending Request for Reservation Closure,BOCSER
201812008953,Request completed with account closure,BOC
201812009363,Pending Request for Reservation Closure,BOC
201812009485,Pending Request for acquittance of heirs,BOC
201812009515,Pending Request for Reservation Closure,BOC
201812009556,Pending Request for Reservation Closure,BOC
201812009573,Pending Request for acquittance of heirs,BOC
201812009645,Pending Request for Reservation Closure,BOCSER
201812009682,Pending Request for Reservation Closure,BOC
201812009703,Pending Request for acquittance of heirs,BOC
201812009725,Request completed with account closure,SDCRAP
