case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean,sim_status_baseline_mean,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec
bpi17_before,nsga2,1,5,Application_1003257895,O_Cancelled,User_60,0.0,0.0,0.6,2138223.0,0.5679973020592726,634154.106850865,0.5679973020592726,1209439.1184531366
bpi17_before,nsga2,1,5,Application_1005586643,O_Cancelled,User_39,0.0,0.0,0.4,759013.9,0.747799831158022,768808.7408037896,0.8548697603463419,886896.1802162712
bpi17_before,nsga2,1,5,Application_1006347888,A_Validating,User_60,0.4,102484.1,0.7,385034.2,0.6736047751190284,754098.008243354,0.017345936504729372,2369081.6899236236
bpi17_before,nsga2,1,5,Application_1006959642,A_Validating,User_7,0.7,310238.0,0.3,608274.0,0.6826514681490888,948318.488957221,0.6760344050897067,948318.488957221
bpi17_before,nsga2,1,5,Application_1007607428,O_Cancelled,User_39,0.0,0.0,0.3,608124.0,0.4849365152903613,1028840.0967845406,0.02115913201234163,2641128.492224348
bpi17_before,nsga2,1,5,Application_1009327734,A_Cancelled,User_60,0.7,394396.0,0.3,619754.4,0.21814564750314216,98335.98176575988,0.9757542541072362,34868.295795588056
bpi17_before,nsga2,1,5,Application_1009466765,A_Cancelled,User_85,0.0,0.0,0.7,427350.0,0.025067520528344697,634724.5852468214,0.013076656244219843,2591211.0180797083
bpi17_before,nsga2,1,5,Application_1011122543,A_Validating,User_7,0.5,294856.3,0.6,1111744.3,0.6875805509684271,1138805.6902909293,0.681018240288163,1138805.6902909293
bpi17_before,nsga2,1,5,Application_1012566167,A_Cancelled,User_60,0.0,0.0,0.6,278022.0,0.030334261676334785,625789.020437049,0.4956250256323647,1416572.0909785698
bpi17_before,nsga2,1,5,Application_1014917757,A_Denied,User_39,0.3,260892.0,0.4,701307.2,0.10420966621267982,1096700.7055647213,0.017622177401027568,2695285.362149327
bpi17_before,nsga2,1,5,Application_1015666669,A_Validating,User_115,0.8,297840.8,0.4,599568.0,0.6736047751190284,898844.5752389347,0.017345936504729372,2592046.2103732745
bpi17_before,nsga2,1,5,Application_1017828639,A_Cancelled,User_7,0.5,154268.4,0.7,793677.6,0.34609121402247817,103728.50575362134,0.8972333431832726,258708.22368671838
bpi17_before,nsga2,1,5,Application_1018407971,O_Cancelled,User_7,0.0,0.0,0.4,1091394.4,0.6220601068278622,1135225.8353524085,0.7568281728031647,1215565.5581883295
bpi17_before,nsga2,1,5,Application_1018538193,A_Cancelled,User_7,0.0,0.0,0.3,1944116.4,0.04367850623686572,808520.058743723,0.5295254451883966,1654234.125127505
bpi17_before,nsga2,1,5,Application_1019469082,A_Validating,User_7,0.9,257430.0,0.4,1027475.6,0.7490138345214808,993311.084890739,0.013880083655136974,2600882.2126325346
bpi17_before,nsga2,1,5,Application_1019603677,A_Validating,User_60,0.6,173214.0,0.2,420258.0,0.7630575313484755,871866.3369819126,0.5676705503384877,1239123.2887611687
bpi17_before,nsga2,1,5,Application_1021365915,A_Cancelled,User_60,0.5,523190.4,0.8,1088215.0,0.15933528033949468,23091.338984129252,0.8233262053030238,420342.0505210862
bpi17_before,nsga2,1,5,Application_1023449033,A_Validating,User_7,0.6,167758.4,0.3,2522932.0,0.812484340279495,1373867.0619722127,0.8078122849560898,1373867.0619722127
bpi17_before,nsga2,1,5,Application_1024769381,A_Validating,User_7,0.6,493292.0,0.7,489811.0,0.7734084477736072,1238955.9791922057,0.014389158251007256,2686608.922463403
bpi17_before,nsga2,1,5,Application_1025923370,O_Cancelled,User_60,0.0,0.0,0.6,835550.0,0.504087916300967,982585.3843373196,0.504087916300967,1606211.8698976086
bpi17_before,nsga2,1,5,Application_1030024656,A_Cancelled,User_102,0.0,0.0,0.5,257838.0,0.02900756747963532,815225.5246387988,0.5894352709125367,1293604.7332612139
bpi17_before,nsga2,1,5,Application_1030416681,O_Cancelled,User_7,0.0,0.0,0.5,613627.6,0.552746589673257,927412.0144101308,0.5378177975073837,1313188.9494601744
bpi17_before,nsga2,1,5,Application_1031153001,A_Validating,User_115,0.7,277432.4,0.6,420358.4,0.7645757149453152,1083918.4604413994,0.7645757149453152,1130499.6306295537
bpi17_before,nsga2,1,5,Application_1033756531,O_Cancelled,User_7,0.0,0.0,0.5,309674.3,0.5035564196380873,1177707.079777823,0.7004977245860775,1401921.3345323585
bpi17_before,nsga2,1,5,Application_1034064300,O_Cancelled,User_7,0.0,0.0,0.5,580209.1,0.5306435939167002,828745.5435023657,0.033737609410350505,589583.0164651799
bpi17_before,nsga2,1,5,Application_1038386825,O_Cancelled,User_53,0.0,0.0,0.8,1011488.1,0.7265371008095073,719462.0978384168,0.8611360909065349,931137.3276328216
bpi17_before,nsga2,1,5,Application_1042621630,A_Cancelled,User_60,0.7,175385.6,0.5,1123637.4,0.17400201227783588,96381.70844567812,0.876352019657258,292951.91406914266
bpi17_before,nsga2,1,5,Application_1043223939,A_Validating,User_60,0.0,0.0,0.0,0.0,0.7679430991287495,634129.3965711776,0.02224671445489791,1939748.404359116
bpi17_before,nsga2,1,5,Application_1048806756,A_Validating,User_7,0.0,0.0,0.0,0.0,0.8075770042543858,931256.6056071039,0.5748177664481098,928838.4683447583
bpi17_before,nsga2,1,5,Application_1049246293,A_Validating,User_60,0.8,521727.8,0.5,1711691.4,0.7324854733953043,826192.2988246153,0.5508618219166848,1157251.174838033
bpi17_before,nsga2,1,5,Application_1049972821,A_Validating,User_60,0.6,509749.4,0.4,355165.4,0.677096899586207,1157146.6666848,0.01558961063422002,2694785.2210709406
bpi17_before,nsga2,1,5,Application_1051554620,A_Cancelled,User_102,0.0,0.0,0.4,988587.8,0.04343696288309298,734540.7494281055,0.38461438370033324,1406123.749547497
bpi17_before,nsga2,1,5,Application_1052613502,A_Validating,User_60,0.6,226164.0,0.6,1891382.0,0.7849284530830578,962386.3493103543,0.7849284530830578,1097792.6793782504
bpi17_before,nsga2,1,5,Application_1053061342,O_Cancelled,User_60,0.0,0.0,0.5,1166889.0,0.5365291054297202,921519.1759909408,0.734794919950589,1146761.9460434509
bpi17_before,nsga2,1,5,Application_1053321873,O_Returned,User_115,0.7,362723.6,0.4,525710.8,0.8773679724609666,144960.52329083486,0.1224173839540079,272959.3854620153
bpi17_before,nsga2,1,5,Application_1053998899,A_Cancelled,User_60,0.6,266931.6,0.6,191493.6,0.26181000601614074,31232.74082015967,0.8778017447776321,486488.1400686975
bpi17_before,nsga2,1,5,Application_1056882365,A_Validating,User_115,0.9,387709.0,0.2,190578.5,0.7175031973199819,899444.7705373318,0.7175031973199819,947967.5321172685
bpi17_before,nsga2,1,5,Application_1057803878,O_Cancelled,User_17,0.0,0.0,0.5,707370.0,0.5107468697674536,1014880.5129296243,0.4828366670414934,1570225.4276871346
bpi17_before,nsga2,1,5,Application_1059555811,A_Validating,User_60,0.8,320076.0,0.5,660606.0,0.7474228922535964,1155124.1797823035,0.5468005563462054,1636686.8465069192
bpi17_before,nsga2,1,5,Application_1061755455,A_Cancelled,User_102,0.0,0.0,0.9,1146294.9,0.03830879087317064,699321.2990173097,0.017357462541864953,2616627.646865435
bpi17_before,nsga2,1,5,Application_1062571933,A_Cancelled,User_60,0.0,0.0,0.3,995604.0,0.03218731611958869,652561.5703475153,0.5109250487911873,1600936.012665743
